Date,Open,High,Low,Close,Adj Close,Volume
2021-04-14,74.400002,75.300003,70.199997,73.400002,71.905457,4972000
2021-04-15,74.099998,75.000000,72.300003,74.500000,72.983055,1868000
2021-04-16,75.000000,75.500000,73.199997,73.599998,72.101379,1996000
2021-04-19,72.900002,74.300003,72.099998,72.199997,70.729881,2305000
2021-04-20,72.199997,73.900002,72.000000,72.500000,71.023781,1877000
2021-04-21,72.500000,73.099998,71.800003,72.000000,70.533958,1996000
2021-04-22,72.500000,72.599998,69.699997,70.000000,68.574684,3117000
2021-04-23,69.800003,71.599998,69.099998,71.000000,69.554321,1546000
2021-04-26,72.000000,74.000000,71.400002,72.199997,70.729881,2264000
2021-04-27,72.400002,72.800003,71.400002,71.900002,70.435997,1378000
2021-04-28,72.000000,75.199997,71.500000,73.800003,72.297310,3516000
2021-04-29,75.400002,75.599998,73.000000,73.000000,71.513596,2545000
2021-05-03,72.099998,74.400002,70.800003,71.099998,69.652283,1668000
2021-05-04,71.900002,71.900002,64.099998,67.199997,65.831696,3558000
2021-05-05,67.000000,70.800003,64.699997,67.800003,66.419479,1524000
2021-05-06,67.800003,69.900002,66.800003,67.800003,66.419479,1133000
2021-05-07,69.500000,74.300003,68.699997,73.900002,72.395271,4968000
2021-05-10,75.300003,76.400002,73.300003,73.599998,72.101379,3897000
2021-05-11,71.099998,76.099998,70.199997,71.500000,70.044144,4941000
2021-05-12,72.000000,73.400002,64.400002,65.300003,63.970387,5228000
2021-05-13,65.300003,65.300003,58.799999,60.299999,59.072189,3139245
2021-05-14,62.900002,64.099998,58.500000,60.000000,58.778301,2585097
2021-05-17,54.099998,59.900002,54.000000,54.000000,52.900471,3125933
2021-05-18,55.900002,59.000000,54.799999,58.200001,57.014954,3705227
2021-05-19,56.200001,60.900002,56.200001,60.099998,58.876263,2423200
2021-05-20,60.299999,63.799999,59.000000,62.000000,60.737576,2343629
2021-05-21,64.099998,64.900002,61.299999,61.900002,60.639614,2161592
2021-05-24,60.500000,64.500000,60.500000,63.400002,62.109074,1553085
2021-05-25,63.599998,65.800003,63.500000,64.500000,63.186672,1495010
2021-05-26,64.099998,65.300003,63.799999,64.800003,63.480568,832440
